127.0.0.1, 2014-12-18 18:04:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-18 18:04:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-18 18:04:09, GET, /admin, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-12-18 18:04:09, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:04:09, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 18:04:11, POST, /admin/default/index, HTTP/1.1, 303, 0.032000
127.0.0.1, 2014-12-18 18:04:11, GET, /admin/default/site, HTTP/1.1, 200, 0.032000
127.0.0.1, 2014-12-18 18:04:11, POST, /admin/default/check_version, HTTP/1.1, 200, 0.250000
127.0.0.1, 2014-12-18 18:04:19, GET, /admin/default/compile_app/cliente, HTTP/1.1, 303, 1.219000
127.0.0.1, 2014-12-18 18:04:19, GET, /admin/default/site, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-12-18 18:04:25, GET, /admin/default/pack/cliente/compiled, HTTP/1.1, 200, 0.375000
127.0.0.1, 2014-12-18 18:04:41, POST, /admin/default/site, HTTP/1.1, 303, 0.500000
127.0.0.1, 2014-12-18 18:04:42, GET, /admin/default/site, HTTP/1.1, 200, 0.359000
127.0.0.1, 2014-12-18 18:04:48, GET, /admin/default/uninstall/cliente, HTTP/1.1, 200, 0.032000
127.0.0.1, 2014-12-18 18:04:51, POST, /admin/default/uninstall/cliente, HTTP/1.1, 303, 1.063000
127.0.0.1, 2014-12-18 18:04:51, GET, /admin/default/site, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-18 18:05:10, GET, /, HTTP/1.1, 200, 0.187000
127.0.0.1, 2014-12-18 18:05:10, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 18:05:10, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-12-18 18:05:11, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
